# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
F54C8.7a,chrIII,-,9451498,9453965,-2.3,0.0,0.0,1.1,2,5,4,19.0,19.0,F54C8.7a,WBGene00010040,Molecule name for WBGene00010040(F54C8.7). History: N.A.
F16A11.1,chrI,-,9393945,9404016,-2.3,0.0,0.0,1.1,2,5,4,20.0,22.0,F16A11.1,WBGene00008876,Public name for WBGene00008876. History: N.A.
T23G5.1,chrIII,-,9225282,9228694,-2.3,0.0,0.0,1.1,2,5,4,20.0,22.0,T23G5.1,WBGene00004391,Sequence name for WBGene00004391(rnr-1). History: N.A.
T06D10.1,chrI,-,9070244,9075069,-2.3,0.0,0.0,1.1,2,5,4,18.0,20.0,T06D10.1,WBGene00011531,"Sequence name for WBGene00011531(rsbp-1). History: Split into T06D10.8(WBGene00303078). History of WBGene00011531: Split into ""WBGene00303078"" on 2018-03-02"
F59B2.5,chrIII,-,8999739,9002475,-2.3,0.0,0.0,1.1,2,5,4,20.0,21.0,F59B2.5,WBGene00010309,"Sequence name for WBGene00010309(rpn-6.2). History: Split into F59B2.15(WBGene00185006). History of WBGene00010309: Split into ""WBGene00185006"" on 2009-02-27"
K07A12.4b,chrI,-,8687631,8690922,-2.3,0.0,0.0,1.1,2,5,4,23.0,21.0,K07A12.4b,WBGene00010622,Molecule name for WBGene00010622(hbs-1). History: N.A.
D2085.5b,chrII,-,8669075,8677201,-2.3,0.0,0.0,1.1,2,5,4,20.0,25.0,D2085.5b,WBGene00008430,Molecule name for WBGene00008430(hgap-2). History: N.A.
C26D10.1,chrII,-,8322544,8324984,-2.3,0.0,0.0,1.1,2,5,4,21.0,21.0,C26D10.1,WBGene00004304,Sequence name for WBGene00004304(ran-3). History: N.A.
F33D4.5,chrIV,-,7707558,7709685,-2.3,0.0,0.0,1.1,2,5,4,20.0,22.0,F33D4.5,WBGene00017997,Sequence name for WBGene00017997(mrpl-1). History: N.A.
F18A1.7.2,chrII,-,7662665,7663683,-2.3,0.0,0.0,1.1,2,5,4,20.0,21.0,,,
C37A2.7,chrI,-,6789061,6789741,-2.3,0.0,0.0,1.1,2,5,4,21.0,21.0,C37A2.7,WBGene00016493,Public name for WBGene00016493. History: N.A.
C23G10.7a,chrIII,-,6195934,6198360,-2.3,0.0,0.0,1.1,2,5,4,20.0,22.0,,,
T19B4.7,chrI,-,5679847,5691506,-2.3,0.0,0.0,1.1,2,5,4,20.0,20.0,T19B4.7,WBGene00006776,Sequence name for WBGene00006776(unc-40). History: Renamed on 2010-05-19; Renamed on 2010-08-27
F28B3.6,chrI,-,4950582,4951484,-2.3,0.0,0.0,1.1,2,5,4,19.0,20.0,F28B3.6,WBGene00017887,Public name for WBGene00017887. History: N.A.
Y71H2AL.1,chrIII,-,2681519,2686450,-2.3,0.0,0.0,1.1,2,5,4,36.0,21.0,Y71H2AL.1,WBGene00003941,"Sequence name for WBGene00003941(pbo-1). History: N.A.. Public name for Dead gene WBGene00022164. History of WBGene00022164: Merged into ""WBGene00003941"" on 2011-09-06"
Y116A8C.33,chrIV,-,17111037,17116621,-2.3,0.0,-6.1,1.0,4,9,9,21.0,21.0,Y116A8C.33,WBGene00013809,Public name for WBGene00013809. History: N.A.
F33H2.5,chrI,-,15005606,15013861,-2.3,0.0,-6.1,1.0,4,9,9,20.0,21.0,F33H2.5,WBGene00009368,Sequence name for WBGene00009368(pole-1). History: N.A.
F52G2.2b,chrIV,-,13521936,13540232,-2.3,0.0,-6.1,1.0,4,9,9,20.0,21.0,F52G2.2b,WBGene00004681,Molecule name for WBGene00004681(rsd-2). History: N.A.
ZK418.9b,chrIII,-,7085128,7087670,-2.3,0.0,-6.1,1.0,4,9,9,20.0,21.0,ZK418.9b,WBGene00022738,Molecule name for WBGene00022738(fubl-2). History: Renamed on 2017-12-07
B0336.9b,chrIII,-,5702206,5705415,-2.3,0.0,-6.1,1.0,4,9,9,21.0,21.0,B0336.9b,WBGene00006359,Molecule name for WBGene00006359(swp-1). History: N.A.
C29F7.6,chrX,+,13436377,13441806,-2.2,0.0,0.0,0.9,2,5,5,21.0,20.0,C29F7.6,WBGene00007813,Sequence name for WBGene00007813(jmjd-3.3). History: N.A.
Y43F4B.7,chrIII,+,13307382,13313268,-2.2,0.0,0.0,0.9,2,5,5,22.0,20.0,Y43F4B.7,WBGene00012804,Sequence name for WBGene00012804(slc-36.1). History: N.A.
F10C2.4,chrV,+,12041585,12045299,-2.2,0.0,0.0,0.9,2,5,5,20.0,21.0,F10C2.4,WBGene00008645,Public name for WBGene00008645. History: N.A.
H02I12.8,chrIV,+,11403931,11405966,-2.2,0.0,0.0,0.9,2,5,5,21.0,21.0,H02I12.8,WBGene00010354,Sequence name for WBGene00010354(cyp-31A2). History: N.A.
F55C10.1,chrV,+,11375769,11377767,-2.2,0.0,0.0,0.9,2,5,5,19.0,19.0,F55C10.1,WBGene00000554,Sequence name for WBGene00000554(cnb-1). History: N.A.
D2013.5,chrII,+,9324798,9329588,-2.2,0.0,0.0,0.9,2,5,5,20.0,20.0,D2013.5,WBGene00001134,Sequence name for WBGene00001134(eat-3). History: N.A.
F38E1.7,chrV,+,8355967,8358164,-2.2,0.0,0.0,0.9,2,5,5,22.0,20.0,F38E1.7,WBGene00003395,Sequence name for WBGene00003395(mom-2). History: N.A.
C34D4.2,chrIV,+,7154707,7156000,-2.2,0.0,0.0,0.9,2,5,5,19.0,22.0,C34D4.2,WBGene00016398,Public name for WBGene00016398. History: N.A.
C44B7.1.4,chrII,+,6901267,6902873,-2.2,0.0,0.0,0.9,2,5,5,22.0,22.0,,,
C02B10.6,chrIV,+,5070921,5072219,-2.2,0.0,0.0,0.9,2,5,5,22.0,22.0,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
W06B4.1,chrII,+,4471392,4473543,-2.2,0.0,0.0,0.9,2,5,5,22.0,23.0,W06B4.1,WBGene00021056,Public name for WBGene00021056. History: N.A.
C41D11.1,chrI,+,4457384,4458672,-2.2,0.0,0.0,0.9,2,5,5,21.0,22.0,C41D11.1,WBGene00016561,Sequence name for WBGene00016561(eri-6). History: N.A.
Y49F6B.2,chrII,+,3502963,3504904,-2.2,0.0,0.0,0.9,2,5,5,20.0,21.0,Y49F6B.2,WBGene00021715,Public name for WBGene00021715. History: N.A.
Y54E10A.6,chrI,+,3163689,3167556,-2.2,0.0,0.0,0.9,2,5,5,19.0,22.0,Y54E10A.6,WBGene00021828,Public name for WBGene00021828. History: N.A.
Y48G1A.2,chrI,+,347484,348360,-2.2,0.0,0.0,0.9,2,5,5,19.0,21.0,Y48G1A.2,WBGene00021658,Public name for WBGene00021658. History: N.A.
Y53F4A.2,chrII,+,14869847,14882941,-2.2,0.0,-8.0,0.9,3,7,8,21.0,22.0,Y53F4A.2,WBGene00013148,Public name for WBGene00013148. History: N.A.
F40F9.7b.3,chrV,+,9730083,9733989,-2.2,0.0,-8.0,0.9,3,7,8,22.0,22.0,,,
F55H2.2,chrIII,+,9507975,9509666,-2.2,0.0,-8.0,0.9,3,7,8,20.0,23.0,F55H2.2,WBGene00010130,Sequence name for WBGene00010130(vha-14). History: N.A.
T21B10.3,chrII,+,8934302,8938953,-2.1,0.0,-8.0,0.8,4,9,11,21.0,21.0,T21B10.3,WBGene00011885,Public name for WBGene00011885. History: N.A.
Y24D9A.2,chrIV,+,4390846,4393395,-2.1,0.0,-8.0,0.8,4,9,11,21.0,22.0,Y24D9A.2,WBGene00021282,Sequence name for WBGene00021282(set-21). History: N.A.
Y92H12BR.3b,chrI,+,1416592,1425131,-2.1,0.0,-8.0,0.8,4,9,11,20.0,22.0,Y92H12BR.3b,WBGene00022369,Molecule name for WBGene00022369(Y92H12BR.3). History: N.A.
F21H7.5,chrV,+,16237513,16238795,-2.1,0.0,0.0,1.1,1,2,2,20.0,22.0,F21H7.5,WBGene00009031,Public name for WBGene00009031. History: N.A.
F23A7.7,chrX,+,16231989,16235575,-2.1,0.0,0.0,1.1,1,2,2,19.0,19.0,F23A7.7,,Sequence name for Suppressed gene WBGene00009072. Molecular name for Suppressed gene WBGene00009072. Public name for Suppressed gene WBGene00009072. History of WBGene00009072: Killed on 2009-03-30; Suppressed on 2012-11-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y54E5A.3,chrI,+,14694157,14700287,-2.1,0.0,0.0,1.1,1,2,2,19.0,18.0,Y54E5A.3,WBGene00013198,"Public name for Dead gene WBGene00013199. History of WBGene00013199: Merged into ""WBGene00013198"" on 2008-07-18"
JC8.7,chrIV,+,13247228,13250460,-2.1,0.0,0.0,1.1,1,2,2,18.0,22.0,JC8.7,WBGene00010439,Public name for WBGene00010439. History: N.A.
F15D4.2,chrII,+,13215999,13216664,-2.1,0.0,0.0,1.1,1,2,2,18.0,23.0,F15D4.2,WBGene00008859,Public name for WBGene00008859. History: N.A.
F10C2.5,chrV,+,12045410,12048595,-2.1,0.0,0.0,1.1,1,2,2,20.0,20.0,F10C2.5,WBGene00008646,Public name for WBGene00008646. History: N.A.
F36H1.3,chrIV,+,11050556,11052401,-2.1,0.0,0.0,1.1,1,2,2,18.0,21.0,F36H1.3,WBGene00009492,Public name for WBGene00009492. History: N.A.
ZK673.10,chrII,+,10464792,10465220,-2.1,0.0,0.0,1.1,1,2,2,19.0,20.0,ZK673.10,WBGene00014064,Sequence name for WBGene00014064(sdz-37). History: N.A.
F19C6.2b,chrX,+,10000873,10005277,-2.1,0.0,0.0,1.1,1,2,2,22.0,21.0,,,
ZK643.1,chrIII,+,8934145,8935328,-2.1,0.0,0.0,1.1,1,2,2,18.0,19.0,ZK643.1,WBGene00014033,Sequence name for WBGene00014033(arrd-15). History: N.A.
W01C9.4,chrII,+,8545635,8546741,-2.1,0.0,0.0,1.1,1,2,2,19.0,23.0,W01C9.4,WBGene00012177,Sequence name for WBGene00012177(decr-1.2). History: N.A.
C01H6.6,chrI,+,7222464,7224133,-2.1,0.0,0.0,1.1,1,2,2,18.0,21.0,C01H6.6,WBGene00007255,Sequence name for WBGene00007255(cnnm-4). History: N.A.
C34D4.4b,chrIV,+,7149320,7150658,-2.1,0.0,0.0,1.1,1,2,2,21.0,21.0,,,
C17C3.15,chrII,+,5571275,5571945,-2.1,0.0,0.0,1.1,1,2,2,22.0,19.0,C17C3.15,WBGene00015896,Public name for WBGene00015896. History: N.A.
F10F2.8,chrIII,+,4635296,4637456,-2.1,0.0,0.0,1.1,1,2,2,21.0,22.0,F10F2.8,WBGene00008660,Sequence name for WBGene00008660(clec-153). History: N.A.
T28F12.1,chrV,+,4511963,4516933,-2.1,0.0,0.0,1.1,1,2,2,19.0,21.0,T28F12.1,WBGene00020904,Public name for WBGene00020904. History: N.A.
F47C12.4,chrIV,+,3973343,3975707,-2.1,0.0,0.0,1.1,1,2,2,22.0,21.0,F47C12.4,WBGene00018548,Sequence name for WBGene00018548(clec-79). History: N.A.
Y37E11AL.2,chrIV,+,3698508,3699717,-2.1,0.0,0.0,1.1,1,2,2,25.0,22.0,Y37E11AL.2,WBGene00021358,Public name for WBGene00021358. History: N.A.
Y47G6A.3,chrI,+,3602022,3602860,-2.1,0.0,0.0,1.1,1,2,2,19.0,23.0,Y47G6A.3,WBGene00021633,Public name for WBGene00021633. History: N.A.
Y25C1A.1,chrII,+,3114250,3116744,-2.1,0.0,0.0,1.1,1,2,2,18.0,21.0,Y25C1A.1,WBGene00021288,Sequence name for WBGene00021288(clec-123). History: N.A.
Y71F9AL.1,chrI,+,2925219,2928118,-2.1,0.0,0.0,1.1,1,2,2,22.0,20.0,Y71F9AL.1,WBGene00022107,Public name for WBGene00022107. History: N.A.
Y38F2AR.5,chrIV,+,2358930,2376114,-2.1,0.0,0.0,1.1,1,2,2,22.0,22.0,Y38F2AR.5,WBGene00021423,Sequence name for WBGene00021423(tftc-1). History: N.A.
C23H3.5,chrII,+,47580,50098,-2.1,0.0,0.0,1.1,1,2,2,22.0,21.0,C23H3.5,WBGene00016021,Public name for WBGene00016021. History: N.A.
Y49E10.6,chrIII,-,12367355,12368046,-2.0,0.0,-6.0,1.0,3,7,7,20.0,21.0,Y49E10.6,WBGene00001946,Sequence name for WBGene00001946(his-72). History: N.A.
C42C1.4a.1,chrIV,-,12270463,12275952,-2.0,0.0,-6.0,1.0,3,7,7,20.0,21.0,C42C1.4a.1,WBGene00016582,Molecule name for WBGene00016582(vps-8). History: N.A.
W08D2.6,chrIV,-,9817396,9824606,-2.0,0.0,-6.0,1.0,3,7,7,20.0,21.0,W08D2.6,WBGene00000697,Sequence name for WBGene00000697(col-123). History: N.A.
R04E5.8b,chrX,-,8801564,8806051,-2.0,0.0,-6.0,1.0,3,7,7,19.0,21.0,R04E5.8b,WBGene00019871,Molecule name for WBGene00019871(R04E5.8). History: N.A.
R05F9.10,chrII,-,4902283,4903783,-2.0,0.0,-6.0,1.0,3,7,7,22.0,21.0,R05F9.10,WBGene00019893,Sequence name for WBGene00019893(sgt-1). History: N.A.
Y47G6A.23,chrI,-,3565042,3578690,-2.0,0.0,-6.0,1.0,3,7,7,20.0,23.0,Y47G6A.23,WBGene00003060,Sequence name for WBGene00003060(lpd-3). History: N.A.
F10D7.5c,chrX,-,17383052,17391529,-1.8,0.0,0.0,1.1,1,2,2,23.0,20.0,F10D7.5c,WBGene00017342,Molecule name for WBGene00017342(F10D7.5). History: N.A.
F52G2.1b,chrIV,-,13513357,13521839,-1.8,0.0,0.0,1.1,1,2,2,18.0,21.0,F52G2.1b,WBGene00003582,Molecule name for WBGene00003582(dcap-2). History: Renamed on 2005-12-19
Y18D10A.9,chrI,-,12853077,12858251,-1.8,0.0,0.0,1.1,1,2,2,22.0,21.0,Y18D10A.9,WBGene00012479,Sequence name for WBGene00012479(ciao-1). History: N.A.
W02B12.12b,chrII,-,11476744,11479078,-1.8,0.0,0.0,1.1,1,2,2,19.0,22.0,W02B12.12b,WBGene00012207,Molecule name for WBGene00012207(W02B12.12). History: N.A.
F56G4.7,chrI,-,11361139,11362892,-1.8,0.0,0.0,1.1,1,2,2,18.0,20.0,F56G4.7,WBGene00044250,Public name for WBGene00044250. History: N.A.
F47G9.1,chrV,-,11323958,11326944,-1.8,0.0,0.0,1.1,1,2,2,19.0,23.0,F47G9.1,WBGene00009829,Sequence name for WBGene00009829(tmed-10). History: N.A.
C34B2.10,chrI,-,10682460,10683139,-1.8,0.0,0.0,1.1,1,2,2,21.0,23.0,C34B2.10,WBGene00016395,Sequence name for WBGene00016395(spcs-1). History: Renamed on 2005-03-17
F58E6.5,chrV,-,9753421,9754550,-1.8,0.0,0.0,1.1,1,2,2,20.0,21.0,F58E6.5,WBGene00010254,Public name for WBGene00010254. History: N.A.
Y53C12A.3,chrII,-,9703735,9706311,-1.8,0.0,0.0,1.1,1,2,2,21.0,22.0,Y53C12A.3,WBGene00013139,"Public name for WBGene00013139. History: Split into Y53C12A.10(WBGene00175030). History of WBGene00013139: Split into ""WBGene00175030"" on 2008-11-27"
C54G4.8,chrI,-,8022679,8024418,-1.8,0.0,0.0,1.1,1,2,2,20.0,22.0,C54G4.8,WBGene00000869,Sequence name for WBGene00000869(cyc-1). History: N.A.
C50E3.12,chrV,-,7620495,7622010,-1.8,0.0,0.0,1.1,1,2,2,21.0,21.0,C50E3.12,WBGene00016823,Public name for WBGene00016823. History: N.A.
R01H2.6,chrIII,-,7067642,7068501,-1.8,0.0,0.0,1.1,1,2,2,20.0,24.0,R01H2.6,WBGene00006713,Sequence name for WBGene00006713(ubc-18). History: N.A.
F57B9.8,chrIII,-,6933613,6935265,-1.8,0.0,0.0,1.1,1,2,2,18.0,21.0,F57B9.8,WBGene00018999,Public name for WBGene00018999. History: N.A.
T26A5.9,chrIII,-,6462849,6463721,-1.8,0.0,0.0,1.1,1,2,2,21.0,23.0,T26A5.9,WBGene00001005,Sequence name for WBGene00001005(dlc-1). History: N.A.
R07E4.5,chrX,-,5949503,5953134,-1.8,0.0,0.0,1.1,1,2,2,21.0,18.0,R07E4.5,WBGene00019938,Public name for WBGene00019938. History: N.A.
K02B2.5,chrIV,-,5947020,5947591,-1.8,0.0,0.0,1.1,1,2,2,22.0,20.0,K02B2.5,WBGene00004494,Sequence name for WBGene00004494(rps-25). History: N.A.
F25B5.6c,chrIII,-,5946166,5948660,-1.8,0.0,0.0,1.1,1,2,2,19.0,23.0,F25B5.6c,WBGene00017777,Molecule name for WBGene00017777(F25B5.6). History: N.A.
ZK177.8b.1,chrII,-,5509007,5513721,-1.8,0.0,0.0,1.1,1,2,2,21.0,21.0,ZK177.8b.1,WBGene00022673,Molecule name for WBGene00022673(ZK177.8). History: N.A.
T11F8.4,chrIV,-,5474149,5476555,-1.8,0.0,0.0,1.1,1,2,2,18.0,22.0,T11F8.4,WBGene00020435,Public name for WBGene00020435. History: N.A.
F48E8.7b,chrIII,-,5446467,5448376,-1.8,0.0,0.0,1.1,1,2,2,20.0,23.0,F48E8.7b,WBGene00018613,Molecule name for WBGene00018613(skpt-1). History: N.A.
T15B12.2,chrIII,-,5300001,5301834,-1.8,0.0,0.0,1.1,1,2,2,18.0,22.0,T15B12.2,WBGene00020531,Public name for WBGene00020531. History: N.A.
ZC155.7,chrIII,-,5207582,5209162,-1.8,0.0,0.0,1.1,1,2,2,20.0,21.0,ZC155.7,WBGene00022534,Sequence name for WBGene00022534(syx-16). History: Renamed on 2012-10-09
C14B1.9,chrIII,-,3724200,3726479,-1.8,0.0,0.0,1.1,1,2,2,18.0,20.0,C14B1.9,WBGene00007580,Public name for WBGene00007580. History: N.A.
Y54E10BR.6,chrI,-,3031213,3032939,-1.8,0.0,0.0,1.1,1,2,2,19.0,20.0,Y54E10BR.6,WBGene00021845,Sequence name for WBGene00021845(rpb-7). History: N.A.
Y54G2A.15,chrIV,-,2843282,2843956,-1.8,0.0,0.0,1.1,1,2,2,18.0,21.0,Y54G2A.15,WBGene00021880,Public name for WBGene00021880. History: N.A.
W02H5.7,chrV,-,2622055,2625459,-1.8,0.0,0.0,1.1,1,2,2,21.0,35.0,W02H5.7,WBGene00020961,Sequence name for WBGene00020961(sknr-1). History: N.A.
F12B6.1,chrI,-,2255924,2272867,-1.8,0.0,0.0,1.1,1,2,2,22.0,22.0,F12B6.1,WBGene00000020,Sequence name for WBGene00000020(abt-2). History: N.A.
W03G1.8,chrIV,-,527379,528583,-1.8,0.0,0.0,1.1,1,2,2,18.0,18.0,W03G1.8,WBGene00021013,Public name for WBGene00021013. History: N.A.
R04A9.3,chrX,-,377391,380569,-1.8,0.0,0.0,1.1,1,2,2,20.0,21.0,R04A9.3,WBGene00019863,Public name for WBGene00019863. History: N.A.
Y116F11B.3,chrV,-,19818142,19825490,0.0,0.0,0.0,1.0,0,0,0,,,Y116F11B.3,WBGene00003959,Sequence name for WBGene00003959(pcp-4). History: N.A.
ZK228.4b,chrV,+,18462770,18465286,0.0,0.0,0.0,1.0,0,0,0,,,ZK228.4b,WBGene00013947,Molecule name for WBGene00013947(ZK228.4). History: N.A.
F20B4.2,chrX,-,17703768,17704781,0.0,0.0,0.0,1.0,0,0,0,,,F20B4.2,,Sequence name for Suppressed gene WBGene00017622. Molecular name for Suppressed gene WBGene00017622. Public name for Suppressed gene WBGene00017622. History of WBGene00017622: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F11E6.6,chrIV,-,17464509,17465881,0.0,0.0,0.0,1.0,0,0,0,,,F11E6.6,WBGene00008709,Public name for WBGene00008709. History: N.A.
F31E9.6,chrV,-,17313595,17315094,0.0,0.0,0.0,1.0,0,0,0,,,F31E9.6,WBGene00009299,Public name for WBGene00009299. History: N.A.
K09E3.7,chrX,-,17131401,17134408,0.0,0.0,0.0,1.0,0,0,0,,,K09E3.7,WBGene00019578,Public name for WBGene00019578. History: N.A.
ZK218.8,chrV,-,17120663,17120760,0.0,0.0,0.0,1.0,0,0,0,,,ZK218.8,WBGene00013942,Public name for WBGene00013942. History: N.A.
Y102A5C.13,chrV,-,16945629,16946316,0.0,0.0,0.0,1.0,0,0,0,,,Y102A5C.13,WBGene00013619,Sequence name for WBGene00013619(fbxa-112). History: N.A.
Y102A5C.9,chrV,+,16940928,16941615,0.0,0.0,0.0,1.0,0,0,0,,,Y102A5C.9,WBGene00013616,Sequence name for WBGene00013616(fbxa-148). History: N.A.
T01C8.7,chrX,-,16803285,16807032,0.0,0.0,0.0,1.0,0,0,0,,,T01C8.7,WBGene00003168,Sequence name for WBGene00003168(mec-4). History: N.A.
F23A7.4,chrX,+,16212524,16212990,0.0,0.0,0.0,1.0,0,0,0,,,F23A7.4,WBGene00009069,Public name for WBGene00009069. History: N.A.
T06C12.4,chrV,+,15867671,15868914,0.0,0.0,0.0,1.0,0,0,0,,,T06C12.4,WBGene00011513,Sequence name for WBGene00011513(fbxa-197). History: N.A.
Y105C5A.17,chrIV,-,15736257,15738207,0.0,0.0,0.0,1.0,0,0,0,,,Y105C5A.17,WBGene00013640,Public name for WBGene00013640. History: N.A.
Y105C5A.17,chrIV,-,15729755,15730558,0.0,0.0,0.0,1.0,0,0,0,,,Y105C5A.17,WBGene00013640,Public name for WBGene00013640. History: N.A.
Y105C5A.26,chrIV,-,15681341,15681505,0.0,0.0,0.0,1.0,0,0,0,,,Y105C5A.26,WBGene00044263,Public name for WBGene00044263. History: N.A.
F39D8.1c,chrX,-,15409096,15415414,0.0,0.0,0.0,1.0,0,0,0,,,F39D8.1c,WBGene00004123,Molecule name for WBGene00004123(pqn-36). History: N.A.
F46F2.3,chrX,-,15259504,15260211,0.0,0.0,0.0,1.0,0,0,0,,,F46F2.3,WBGene00009787,Public name for WBGene00009787. History: N.A.
Y40H7A.2,chrIV,+,15156615,15158944,0.0,0.0,0.0,1.0,0,0,0,,,Y40H7A.2,WBGene00012742,Public name for WBGene00012742. History: N.A.
Y53F4B.20,chrII,+,15084379,15089555,0.0,0.0,0.0,1.0,0,0,0,,,Y53F4B.20,WBGene00013166,Public name for WBGene00013166. History: N.A.
Y41E3.12,chrIV,-,15049371,15053331,0.0,0.0,0.0,1.0,0,0,0,,,Y41E3.12,WBGene00012770,Sequence name for WBGene00012770(srt-47). History: N.A.
C25D7.1,chrV,-,15036278,15036805,0.0,0.0,0.0,1.0,0,0,0,,,C25D7.1,WBGene00007714,Public name for WBGene00007714. History: N.A.
H12D21.12,chrV,+,14891061,14891165,0.0,0.0,0.0,1.0,0,0,0,,,H12D21.12,WBGene00044271,Sequence name for WBGene00044271(nspa-2). History: N.A.
Y53F4A.2,chrII,-,14876050,14876947,0.0,0.0,0.0,1.0,0,0,0,,,Y53F4A.2,WBGene00013148,Public name for WBGene00013148. History: N.A.
F31F6.2,chrX,-,14869527,14870596,0.0,0.0,0.0,1.0,0,0,0,,,F31F6.2,WBGene00009301,Public name for WBGene00009301. History: N.A.
T04C10.3,chrX,+,14812282,14814301,0.0,0.0,0.0,1.0,0,0,0,,,T04C10.3,WBGene00011426,Public name for WBGene00011426. History: N.A.
Y57G11C.7,chrIV,-,14755755,14756622,0.0,0.0,0.0,1.0,0,0,0,,,Y57G11C.7,WBGene00013305,"Public name for WBGene00013305. History: Split into Y57G11C.499(WBGene00077762). History of WBGene00013305: Split into ""WBGene00077762"" on 2008-06-03"
K10H10.7,chrII,-,14507089,14507535,0.0,0.0,0.0,1.0,0,0,0,,,K10H10.7,WBGene00010763,Public name for WBGene00010763. History: N.A.
Y105E8A.7c,chrI,+,14391994,14395510,0.0,0.0,0.0,1.0,0,0,0,,,Y105E8A.7c,WBGene00001147,Molecule name for WBGene00001147(eat-18). History: N.A.
Y54G11A.8b,chrII,-,14339971,14344357,0.0,0.0,0.0,1.0,0,0,0,,,Y54G11A.8b,WBGene00013217,Molecule name for WBGene00013217(ddl-3). History: N.A.
F14D7.10,chrV,+,14308464,14308820,0.0,0.0,0.0,1.0,0,0,0,,,F14D7.10,WBGene00008797,Public name for WBGene00008797. History: N.A.
F09C3.5,chrI,-,14283493,14285306,0.0,0.0,0.0,1.0,0,0,0,,,F09C3.5,WBGene00008613,Sequence name for WBGene00008613(fbxb-69). History: N.A.
ZK849.6,chrI,-,14198621,14198994,0.0,0.0,0.0,1.0,0,0,0,,,ZK849.6,WBGene00014104,Public name for WBGene00014104. History: N.A.
Y71A12B.3,chrI,+,13893120,13894463,0.0,0.0,0.0,1.0,0,0,0,,,Y71A12B.3,WBGene00013501,Public name for WBGene00013501. History: N.A.
Y71A12B.2,chrI,-,13890329,13891445,0.0,0.0,0.0,1.0,0,0,0,,,Y71A12B.2,WBGene00013500,Public name for WBGene00013500. History: N.A.
ZK131.5,chrII,+,13821688,13822224,0.0,0.0,0.0,1.0,0,0,0,,,ZK131.5,WBGene00001885,Sequence name for WBGene00001885(his-11). History: N.A.
F53C11.8,chrV,-,13804376,13807219,0.0,0.0,0.0,1.0,0,0,0,,,F53C11.8,WBGene00009977,Sequence name for WBGene00009977(swan-1). History: N.A.
Y45F10C.1,chrIV,-,13656380,13659514,0.0,0.0,0.0,1.0,0,0,0,,,Y45F10C.1,WBGene00012877,Public name for WBGene00012877. History: N.A.
T25C8.2,chrIII,-,13604219,13605948,0.0,0.0,0.0,1.0,0,0,0,,,T25C8.2,WBGene00000067,Sequence name for WBGene00000067(act-5). History: N.A.
Y45F10B.8,chrIV,-,13577300,13578241,0.0,0.0,0.0,1.0,0,0,0,,,Y45F10B.8,WBGene00012872,Public name for WBGene00012872. History: N.A.
E01G4.3,chrII,-,13460900,13461979,0.0,0.0,0.0,1.0,0,0,0,,,E01G4.3,WBGene00008446,Public name for WBGene00008446. History: N.A.
Y43F4B.2,chrIII,-,13293432,13296168,0.0,0.0,0.0,1.0,0,0,0,,,Y43F4B.2,,Sequence name for Suppressed gene WBGene00012801. Molecular name for Suppressed gene WBGene00012801. Public name for Suppressed gene WBGene00012801. History of WBGene00012801: Killed on 2008-09-25; Suppressed on 2012-11-25. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
M01E5.4,chrI,-,13287509,13289528,0.0,0.0,0.0,1.0,0,0,0,,,M01E5.4,WBGene00010807,Public name for WBGene00010807. History: N.A.
F44F1.5,chrI,-,13258369,13260205,0.0,0.0,0.0,1.0,0,0,0,,,F44F1.5,WBGene00009697,Public name for WBGene00009697. History: N.A.
H16D19.1,chrI,+,12635161,12636531,0.0,0.0,0.0,1.0,0,0,0,,,H16D19.1,WBGene00010399,Sequence name for WBGene00010399(clec-13). History: N.A.
T07D10.4,chrI,-,12631174,12632544,0.0,0.0,0.0,1.0,0,0,0,,,T07D10.4,WBGene00011584,Sequence name for WBGene00011584(clec-15). History: N.A.
T24D5.6,chrX,+,12602951,12603983,0.0,0.0,0.0,1.0,0,0,0,,,T24D5.6,WBGene00044149,"Public name for WBGene00044149. History: Split into T24D5.11(WBGene00219279). History of WBGene00044149: Split into ""WBGene00219279"" on 2011-10-03"
T28H10.3,chrV,+,12512999,12514925,0.0,0.0,0.0,1.0,0,0,0,,,T28H10.3,WBGene00012144,Sequence name for WBGene00012144(lgmn-1). History: N.A.
E03H4.11,chrI,+,12433050,12434875,0.0,0.0,0.0,1.0,0,0,0,,,E03H4.11,WBGene00008478,Public name for WBGene00008478. History: N.A.
